case_id,sample_id,t,cohort,baseline_status,unet_parent_candidates,unet_daughter_1_candidates,unet_daughter_2_candidates,parent_distance_um,daughter_1_distance_um,daughter_2_distance_um,parent_frame_peak_count,daughter_frame_peak_count,distinct_daughter_pair,complete_triplet,det_threshold,pool_kernel_um,tta,graph_mutated,edges_inferred
DEV-6bba_3c5691b6-t22-p23000172,6bba_3c5691b6,22,positive_control,official_positive,1,1,1,1.8168052317185792,0.9084026158592896,1.6750116604071745,60,60,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_3c5691b6-t6-p7000054,6bba_3c5691b6,6,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,2,1,1,2.9575446425202108,3.494694639736067,0.9084026158592896,71,71,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_3fda6b25-t28-p29000542,6bba_3fda6b25,28,positive_control,official_positive,1,1,1,2.03125,3.350023320814349,0.9084026158592896,102,103,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_57b7cc1e-t12-p13000378,6bba_57b7cc1e,12,baseline_nonofficial_action,projected_actions_not_official_tp,1,2,3,0.40625,1.6750116604071745,5.170718337426629,1002,1007,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_57b7cc1e-t23-p24000720,6bba_57b7cc1e,23,baseline_unavailable,no_parent_detection_within_7um,1,1,1,2.1877232028983924,3.447145558284419,3.374565944310468,995,990,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_57b7cc1e-t77-p78002270,6bba_57b7cc1e,77,baseline_unavailable,no_parent_detection_within_7um,1,1,2,1.7235727791422095,3.471001521535247,2.333728575156074,995,992,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_5c039895-t10-p11000170,6bba_5c039895,10,baseline_nonofficial_action,projected_actions_not_official_tp,1,1,1,1.7235727791422095,2.0714766773970688,1.9902104160113323,112,111,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_5c039895-t52-p53000762,6bba_5c039895,52,baseline_unavailable,no_parent_detection_within_7um,1,1,1,0.5745242597140698,2.0714766773970688,0.9084026158592896,91,89,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_5c039895-t58-p59000855,6bba_5c039895,58,positive_control,official_positive,1,1,1,3.25,1.8168052317185792,4.89189779763437,84,83,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_5c824876-t2-p3000057,6bba_5c824876,2,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,1.86167137607581,3.300390601883359,0.40625,231,237,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_6321a359-t8-p9000094,6bba_6321a359,8,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,2,1,0.40625,1.8168052317185792,0.9084026158592896,50,46,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_67ebd073-t86-p87000772,6bba_67ebd073,86,positive_control,official_positive,1,1,1,1.9902104160113323,0.9084026158592896,0.9084026158592896,88,83,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_7d3058ae-t32-p33000475,6bba_7d3058ae,32,baseline_unavailable,no_pair_inside_14um_formation_radius,2,1,2,3.8540258983302125,1.7235727791422095,0.40625,83,84,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_7d3058ae-t83-p84001401,6bba_7d3058ae,83,positive_control,official_positive,1,1,1,1.6750116604071745,0.40625,0.9084026158592896,89,88,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_87289e13-t77-p78001026,6bba_87289e13,77,baseline_nonofficial_action,projected_actions_not_official_tp,1,1,1,2.0714766773970688,0.40625,1.1490485194281397,65,70,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_8b7818bf-t3-p4000023,6bba_8b7818bf,3,baseline_unavailable,no_parent_detection_within_7um,1,1,1,1.4647552056572457,0.8125,0.5745242597140698,66,62,True,True,0.97,3.0,xy_d4_8_view,False,False
